Date,Type,Symbol,Quantity,Price,Amount,Description,Currency
2024-06-17 16:00:00,Dividend,TCEHY,0.0,0.0,43.4,TENCENT HOLDINGS FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS,USD
2024-06-17 16:00:00,Fee,TCEHY,0.0,0.0,-5.0,TENCENT HOLDINGS FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS,USD
2024-07-12 16:00:00,Fee,BABA,0.0,0.0,-2.5,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS,USD
2024-07-12 16:00:00,Dividend,BABA,0.0,0.0,125.0,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS,USD
2024-07-12 16:00:00,Dividend,BABA,0.0,0.0,82.5,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS,USD
2024-07-15 16:00:00,Buy,NU,33.0,13.45,-443.85,NU HOLDINGS LTD FCLASS A,USD
2024-07-16 16:00:00,Interest,,0.0,0.0,0.09,BANK INT ...524 TD BANK USA NA,USD
2024-07-23 16:00:00,Dividend,MU,0.0,0.0,4.6,MICRON TECHNOLOGY,USD
2024-08-16 16:00:00,Interest,,0.0,0.0,0.01,BANK INT ...524 TD BANK USA NA,USD
2024-09-16 16:00:00,Interest,,0.0,0.0,0.01,BANK INT ...524 TD BANK USA NA,USD
2024-10-23 16:00:00,Dividend,MU,0.0,0.0,4.6,MICRON TECHNOLOGY INC,USD
2025-01-15 16:00:00,Dividend,MU,0.0,0.0,4.6,MICRON TECHNOLOGY INC,USD
2025-04-15 16:00:00,Dividend,MU,0.0,0.0,4.6,MICRON TECHNOLOGY INC,USD
2025-05-09 16:00:00,Fee,BABA,0.0,0.0,-2.41,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS,USD
2025-06-09 16:00:00,Buy,TSLY,3.0,7.81,-23.43,YIELDMAX TSLA OPT INCM STGY ETF,USD
2025-06-13 16:00:00,Other,TSLY,0.0,0.0,1.21,YIELDMAX TSLA OPT INCM STGY ETF,USD
2025-06-16 16:00:00,Fee,TCEHY,0.0,0.0,-7.0,TENCENT HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS,USD
2025-06-16 16:00:00,Dividend,TCEHY,0.0,0.0,57.26,TENCENT HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS,USD
2025-07-10 16:00:00,Dividend,BABA,0.0,0.0,118.75,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS,USD
2025-07-10 16:00:00,Fee,BABA,0.0,0.0,-2.5,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS,USD
