"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"05/09/2024","ADR Mgmt Fee","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","","","","-$2.50"
"04/16/2024","Qualified Dividend","MU","MICRON TECHNOLOGY","","","","$4.60"
"04/16/2024 as of 04/15/2024","Bank Interest","","BANK INT ...524 TD BANK USA NA","","","","$0.08"
"03/18/2024 as of 03/15/2024","Bank Interest","","BANK INT ...524 TD BANK USA NA","","","","$0.08"
"02/16/2024 as of 02/15/2024","Bank Interest","","BANK INT ...524 TD BANK USA NA","","","","$0.08"
"01/18/2024","ADR Mgmt Fee","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","","","","-$2.50"
"01/18/2024","Qualified Dividend","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","","","","$125.00"
"01/18/2024","Qualified Dividend","MU","MICRON TECHNOLOGY","","","","$4.60"
"01/16/2024 as of 01/15/2024","Bank Interest","","BANK INT ...524 TD BANK USA NA","","","","$0.03"
"12/18/2023 as of 12/15/2023","Bank Interest","","BANK INT ...523 TD BANK USA NA","","","","$0.03"
"11/16/2023 as of 11/15/2023","Bank Interest","","BANK INT ...523 TD BANK USA NA","","","","$0.03"
"10/25/2023","Qualified Dividend","MU","MICRON TECHNOLOGY","","","","$4.60"
"10/16/2023 as of 10/15/2023","Bank Interest","","BANK INT ...523 TD BANK USA NA","","","","$0.03"
"09/18/2023 as of 09/15/2023","Bank Interest","","BANK INT ...523 TD BANK USA NA","","","","$0.01"
"09/05/2023","Journaled Shares","","TDA TRAN - CASH MOVEMENT OF OUTGOING ACCOUNT TRANSFER","","","","-$79.65"
"09/05/2023","Journaled Shares","TCEHY","TDA TRAN - TRANSFER OF SECURITY OR OPTION OUT (TCEHY)","-100","","",""
"09/05/2023","Journaled Shares","BABA","TDA TRAN - TRANSFER OF SECURITY OR OPTION OUT (BABA)","-125","","",""
"09/05/2023","Journaled Shares","MU","TDA TRAN - TRANSFER OF SECURITY OR OPTION OUT (MU)","-40","","",""
"09/05/2023","Internal Transfer","MU","MICRON TECHNOLOGY","40","","",""
"09/05/2023","Internal Transfer","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","125","","",""
"09/05/2023","Internal Transfer","TCEHY","TENCENT HOLDINGS FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","100","","",""
"09/05/2023","Internal Transfer","","TDA TO CS&CO TRANSFER","","","","$79.65"
"09/05/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA2) BANK SWEEP WITHDRAWAL","","","","-$79.65"
"08/31/2023","Journaled Shares","MMDA2","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA2)","0.69","","",""
"08/18/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA2) BANK SWEEP WITHDRAWAL","","","","-$4101.95"
"08/16/2023","Buy","TCEHY","TDA TRAN - Bought ...100 (TCEHY) @40.9500","100","$40.95","$6.95","-$4101.95"
"07/31/2023","Journaled Shares","MMDA2","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA2)","0.84","","",""
"07/25/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT","","","","$4.60"
"07/25/2023","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (MU)","","","","$4.60"
"07/11/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT","","","","$4158.76"
"07/07/2023","Sell","EMBC","TDA TRAN - Sold 3 (EMBC) @20.0800","3","$20.08","","$60.24"
"07/07/2023","Sell","META","TDA TRAN - Sold 14 (META) @292.7539","14","$292.7539","$0.03","$4098.52"
"06/13/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT","","","","$0.45"
"06/13/2023","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (EMBC)","","","","$0.45"
"05/31/2023","Journaled Shares","MMDA2","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA2)","0.01","","",""
"05/09/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA2) BANK SWEEP WITHDRAWAL","","","","-$2.50"
"05/08/2023","ADR Mgmt Fee","","TDA TRAN - ADR FEE (BABA)","","","","-$2.50"
"04/25/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT","","","","$4.60"
"04/25/2023","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (MU)","","","","$4.60"
"03/13/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT","","","","$0.45"
"03/13/2023","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (EMBC)","","","","$0.45"
"01/19/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT","","","","$4.60"
"01/19/2023","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (MU)","","","","$4.60"
"01/11/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT","","","","$0.45"
"01/11/2023","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (EMBC)","","","","$0.45"
"10/31/2022","Journaled Shares","MMDA2","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA2)","0.02","","",""
"10/26/2022","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT","","","","$4.60"
"10/26/2022","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (MU)","","","","$4.60"
"10/07/2022","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA2) BANK SWEEP WITHDRAWAL","","","","-$2004.04"
"10/06/2022","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT","","","","$2000.00"
"10/05/2022","Buy","EMBC","TDA TRAN - Bought 3 (EMBC) @28.9604","3","$28.9604","","-$86.88"
"10/05/2022","Buy","META","TDA TRAN - Bought 14 (META) @136.9400","14","$136.94","","-$1917.16"
"10/05/2022","Journaled Shares","","TDA TRAN - CORE ACCOUNT MONEY TRANSFER","","","","$2000.00"
"07/26/2022","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT","","","","$4.60"
"07/26/2022","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (MU)","","","","$4.60"
